San Francisco, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
196801,5.25,1.36
196802,1.44,-2.52
196803,3.03,0.30
196804,0.55,-0.81
196805,0.28,-0.20
196806,0.00,-0.14
196807,0.00,0.00
196808,0.06,0.02
196809,0.00,-0.07
196810,0.45,-0.34
196811,2.47,0.43
196812,4.49,0.35
196901,8.93,5.04
196902,8.62,4.66
196903,1.34,-1.39
196904,1.87,0.51
196905,0.00,-0.48
196906,0.06,-0.08
196907,0.00,0.00
196908,0.00,-0.04
196909,0.02,-0.05
196910,1.96,1.17
196911,0.69,-1.35
196912,4.59,0.45
197001,8.34,4.45
197002,2.18,-1.78
197003,1.22,-1.51
197004,0.22,-1.14
197005,0.01,-0.47
197006,0.36,0.22
197007,0.00,0.00
197008,0.00,-0.04
197009,0.00,-0.07
197010,0.75,-0.04
197011,6.41,4.37
197012,6.21,2.07
197101,1.27,-2.62
197102,0.26,-3.70
197103,2.68,-0.05
197104,0.76,-0.60
197105,0.25,-0.23
197106,0.00,-0.14
197107,0.00,0.00
197108,0.00,-0.04
197109,0.11,0.04
197110,0.03,-0.76
197111,0.99,-1.05
197112,3.44,-0.70
197201,1.09,-2.80
197202,1.35,-2.61
197203,0.19,-2.54
197204,1.20,-0.16
197205,0.00,-0.48
197206,0.06,-0.08
197207,0.00,0.00
197208,0.00,-0.04
197209,0.30,0.23
197210,5.24,4.45
197211,5.15,3.11
197212,2.41,-1.73
197301,8.32,4.43
197302,6.82,2.86
197303,2.93,0.20
197304,0.11,-1.25
197305,0.07,-0.41
197306,0.00,-0.14
197307,0.00,0.00
197308,0.00,-0.04
197309,0.04,-0.03
197310,1.60,0.81
197311,7.94,5.90
197312,3.55,-0.59
197401,3.21,-0.68
197402,1.70,-2.26
197403,4.22,1.49
197404,2.33,0.97
197405,0.00,-0.48
197406,0.14,0.00
197407,0.23,0.23
197408,0.00,-0.04
197409,0.00,-0.07
197410,0.93,0.14
197411,0.50,-1.54
197412,2.36,-1.78
197501,2.60,-1.29
197502,3.94,-0.02
197503,5.91,3.18
197504,1.65,0.29
197505,0.02,-0.46
197506,0.04,-0.10
197507,0.13,0.13
197508,0.21,0.17
197509,0.00,-0.07
197510,2.28,1.49
197511,0.26,-1.78
197512,0.21,-3.93
197601,0.37,-3.52
197602,2.13,-1.83
197603,1.22,-1.51
197604,0.92,-0.44
197605,0.00,-0.48
197606,0.01,-0.13
197607,0.00,0.00
197608,0.67,0.63
197609,0.30,0.23
197610,0.34,-0.45
197611,1.37,-0.67
197612,2.70,-1.44
197701,2.22,-1.67
197702,1.04,-2.92
197703,2.01,-0.72
197704,0.00,-1.36
197705,0.41,-0.07
197706,0.00,-0.14
197707,0.35,0.35
197708,0.00,-0.04
197709,0.47,0.40
197710,0.15,-0.64
197711,2.20,0.16
197712,3.69,-0.45
197801,8.89,5.00
197802,4.92,0.96
197803,4.90,2.17
197804,4.50,3.14
197805,0.02,-0.46
197806,0.00,-0.14
197807,0.00,0.00
197808,0.00,-0.04
197809,0.26,0.19
197810,0.00,-0.79
197811,1.67,-0.37
197812,0.64,-3.50
197901,6.62,2.73
197902,5.87,1.91
197903,2.74,0.01
197904,0.70,-0.66
197905,0.13,-0.35
197906,0.00,-0.14
197907,0.09,0.09
197908,0.00,-0.04
197909,0.00,-0.07
197910,2.20,1.41
197911,1.94,-0.10
197912,4.31,0.17
198001,4.85,0.96
198002,7.62,3.66
198003,2.65,-0.08
198004,0.91,-0.45
198005,0.24,-0.24
198006,0.03,-0.11
198007,0.10,0.10
198008,0.00,-0.04
198009,0.00,-0.07
198010,0.10,-0.69
198011,0.12,-1.92
198012,1.73,-2.41
198101,5.92,2.03
198102,2.20,-1.76
198103,3.60,0.87
198104,0.24,-1.12
198105,0.07,-0.41
198106,0.00,-0.14
198107,0.00,0.00
198108,0.00,-0.04
198109,0.28,0.21
198110,2.35,1.56
198111,4.90,2.86
198112,3.92,-0.22
198201,8.81,4.92
198202,2.82,-1.14
198203,7.63,4.90
198204,3.25,1.89
198205,0.00,-0.48
198206,0.06,-0.08
198207,0.00,0.00
198208,0.00,-0.04
198209,0.96,0.89
198210,1.96,1.17
198211,5.35,3.31
198212,3.99,-0.15
198301,6.83,2.94
198302,6.63,2.67
198303,8.50,5.77
198304,3.11,1.75
198305,0.32,-0.16
198306,0.00,-0.14
198307,0.01,0.01
198308,0.00,-0.04
198309,0.57,0.50
198310,0.10,-0.69
198311,6.03,3.99
198312,6.24,2.10
198401,0.46,-3.43
198402,1.47,-2.49
198403,1.36,-1.37
198404,0.68,-0.68
198405,0.00,-0.48
198406,0.03,-0.11
198407,0.00,0.00
198408,0.11,0.07
198409,0.05,-0.02
198410,1.96,1.17
198411,6.11,4.07
198412,1.89,-2.25
198501,0.74,-3.15
198502,2.35,-1.61
198503,3.31,0.58
198504,0.12,-1.24
198505,0.05,-0.43
