Sacramento, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
196403,1.36,-1.32
196404,0.17,-1.09
196405,0.23,-0.52
196406,0.39,0.16
196407,0.01,0.01
196408,0.11,0.07
196409,0.00,-0.09
196410,1.72,0.88
196411,2.70,1.10
196412,6.03,2.60
196501,3.01,-0.65
196502,0.41,-3.08
196503,1.48,-1.20
196504,2.70,1.44
196505,0.09,-0.66
196506,0.00,-0.23
196507,0.00,0.00
196508,0.65,0.61
196509,0.00,-0.09
196510,0.11,-0.73
196511,2.93,1.33
196512,2.44,-0.99
196601,1.91,-1.75
196602,1.56,-1.93
196603,0.14,-2.54
196604,0.47,-0.79
196605,0.25,-0.50
196606,0.02,-0.21
196607,0.10,0.10
196608,0.00,-0.04
196609,0.07,-0.02
196610,0.00,-0.84
196611,5.73,4.13
196612,3.53,0.10
196701,8.42,4.76
196702,0.41,-3.08
196703,3.91,1.23
196704,3.41,2.15
196705,0.13,-0.62
196706,0.60,0.37
196707,0.00,0.00
196708,0.00,-0.04
196709,0.04,-0.05
196710,0.24,-0.60
196711,1.18,-0.42
196712,1.29,-2.14
196801,3.77,0.11
196802,2.13,-1.36
196803,2.39,-0.29
196804,0.42,-0.84
196805,0.16,-0.59
196806,0.15,-0.08
196807,0.00,0.00
196808,0.02,-0.02
196809,0.00,-0.09
196810,0.60,-0.24
196811,2.49,0.89
196812,2.77,-0.66
196901,8.50,4.84
196902,6.98,3.49
196903,0.94,-1.74
196904,1.63,0.37
196905,0.04,-0.71
196906,0.08,-0.15
196907,0.00,0.00
196908,0.00,-0.04
196909,0.02,-0.07
196910,0.72,-0.12
196911,0.60,-1.00
196912,4.41,0.98
197001,7.89,4.23
197002,1.58,-1.91
197003,1.62,-1.06
197004,0.18,-1.08
197005,0.00,-0.75
197006,0.16,-0.07
197007,0.00,0.00
197008,0.00,-0.04
197009,0.00,-0.09
197010,0.84,0.00
197011,7.41,5.81
197012,3.41,-0.02
197101,0.91,-2.75
197102,0.56,-2.93
197103,2.05,-0.63
197104,0.45,-0.81
197105,0.78,0.03
197106,0.01,-0.22
197107,0.00,0.00
197108,0.00,-0.04
197109,0.00,-0.09
197110,0.13,-0.71
197111,0.87,-0.73
197112,4.05,0.62
197201,0.81,-2.85
197202,1.28,-2.21
197203,0.30,-2.38
197204,1.39,0.13
197205,0.28,-0.47
197206,0.19,-0.04
197207,0.00,0.00
197208,0.00,-0.04
197209,0.90,0.81
197210,1.75,0.91
197211,5.15,3.55
197212,1.89,-1.54
197301,6.87,3.21
197302,5.64,2.15
197303,2.76,0.08
197304,0.05,-1.21
197305,0.13,-0.62
197306,0.00,-0.23
197307,0.00,0.00
197308,0.00,-0.04
197309,0.33,0.24
197310,1.65,0.81
197311,6.28,4.68
197312,2.79,-0.64
197401,3.58,-0.08
197402,1.37,-2.12
197403,3.27,0.59
197404,0.96,-0.30
197405,0.01,-0.74
197406,0.50,0.27
197407,0.79,0.79
197408,0.00,-0.04
197409,0.00,-0.09
197410,1.16,0.32
197411,0.66,-0.94
197412,2.86,-0.57
197501,0.74,-2.92
197502,4.60,1.11
197503,4.28,1.60
197504,0.81,-0.45
197505,0.00,-0.75
197506,0.00,-0.23
197507,0.04,0.04
197508,0.23,0.19
197509,0.00,-0.09
197510,2.03,1.19
197511,0.29,-1.31
197512,0.18,-3.25
197601,0.36,-3.30
197602,1.49,-2.00
197603,0.44,-2.24
197604,1.53,0.27
197605,0.00,-0.75
197606,0.04,-0.19
197607,0.00,0.00
197608,0.65,0.61
197609,0.52,0.43
197610,0.02,-0.82
197611,0.55,-1.05
197612,0.65,-2.78
197701,1.17,-2.49
197702,1.17,-2.32
197703,1.28,-1.40
197704,0.30,-0.96
197705,0.73,-0.02
197706,0.00,-0.23
197707,0.00,0.00
197708,0.00,-0.04
197709,0.76,0.67
197710,0.13,-0.71
197711,1.92,0.32
197712,4.27,0.84
197801,9.14,5.48
197802,4.46,0.97
197803,3.39,0.71
197804,2.31,1.05
197805,0.00,-0.75
197806,0.00,-0.23
197807,0.00,0.00
197808,0.00,-0.04
197809,0.30,0.21
197810,0.00,-0.84
197811,3.20,1.60
197812,0.95,-2.48
197901,5.66,2.00
197902,4.55,1.06
197903,2.47,-0.21
197904,0.76,-0.50
197905,0.14,-0.61
197906,0.00,-0.23
197907,0.25,0.25
197908,0.00,-0.04
197909,0.00,-0.09
197910,1.62,0.78
197911,1.48,-0.12
197912,3.41,-0.02
198001,5.65,1.99
198002,7.12,3.63
198003,2.62,-0.06
198004,1.06,-0.20
198005,0.49,-0.26
198006,0.04,-0.19
198007,0.40,0.40
198008,0.00,-0.04
198009,0.00,-0.09
198010,0.06,-0.78
198011,0.13,-1.47
198012,1.79,-1.64
198101,4.56,0.90
198102,0.87,-2.62
198103,3.56,0.88
